# Covering factor confidence range: 0.1 to 0.9
Rho	NumObjects	NumDetections	fc_low	fc_center	fc_high	NumDetectionsMS	fc_lowMS	fc_centerMS	fc_highMS
50.0	4.0	0.0	0.021	0.129	0.369	0.0	0.021	0.129	0.369
75.0	7.0	0.0	0.013	0.083	0.25	0.0	0.013	0.083	0.25
100.0	12.0	0.0	0.008	0.052	0.162	0.0	0.008	0.052	0.162
125.0	14.0	0.0	0.007	0.045	0.142	0.0	0.007	0.045	0.142
150.0	18.0	0.0	0.006	0.036	0.114	0.0	0.006	0.036	0.114
175.0	21.0	0.0	0.005	0.031	0.099	0.0	0.005	0.031	0.099
200.0	22.0	0.0	0.005	0.03	0.095	0.0	0.005	0.03	0.095
225.0	25.0	0.0	0.004	0.026	0.085	0.0	0.004	0.026	0.085
250.0	31.0	0.0	0.003	0.021	0.069	2.0	0.035	0.083	0.158
275.0	38.0	0.0	0.003	0.018	0.057	2.0	0.029	0.068	0.131
300.0	43.0	0.0	0.002	0.016	0.051	2.0	0.025	0.06	0.116
325.0	45.0	0.0	0.002	0.015	0.049	2.0	0.024	0.058	0.112
350.0	48.0	0.0	0.002	0.014	0.046	2.0	0.023	0.054	0.105
