;; Index, Source, RA, Dec, T_sys, Ang Sep (deg), Rho (kpc), Rho/Rvir, T_b(rms) (mK), log N(HI) sens. (5 sig)
  0                RXJ0048.3+3941  00:48:19.00  +39:41:11.0    18.8   1.9   24    0.08     2.78  17.43
  1                   HS0033+4300  00:36:23.00  +43:16:40.2    18.1   2.3   30    0.10    10.13  17.55
  2                   HS0058+4213  01:01:31.17  +42:29:35.6    18.4   3.7   48    0.16    10.44  17.56
  3             RXSJ0043.6+372521  00:43:42.50  +37:25:19.0    18.1   3.9   50    0.17     9.18  17.50
  4                     ZW535.012  00:36:20.92  +45:39:53.2    17.5   4.5   59    0.20     9.58  17.52
  5                    Q0030+3700  00:30:17.40  +37:00:54.0    19.3   4.9   64    0.21     9.38  17.51
  6                         BLANK  01:08:27.00  +38:58:32.0    18.7   5.4   71    0.24     7.44  17.41
  7                 MS0108.4+3859  01:11:16.70  +39:15:00.0    17.6   5.8   76    0.25     1.90  17.27
  8           RXSJ005050.6+353645  00:50:50.75  +35:36:43.0    17.9   5.9   76    0.26     6.35  17.34
  9                 2E0111.0+3851  01:13:54.50  +39:07:44.0    18.4   6.3   82    0.28     7.86  17.44
 10                IRAS00040+4325  00:06:36.60  +43:42:29.0    17.6   7.1   92    0.31     9.68  17.53
 11           RXSJ011848.2+383626  01:18:49.50  +38:36:19.0    17.9   7.4   96    0.32     9.79  17.53
 12                RXJ0117.7+3637  01:17:45.70  +36:37:14.9    17.7   8.2  107    0.36     6.76  17.37
 13       SDSSJ001847.44+341209.5  00:18:47.45  +34:12:09.6    19.1   8.5  111    0.37     9.85  17.54
 14                        MRK352  00:59:53.31  +31:49:37.1    18.1  10.0  131    0.44     9.94  17.54
 15                RXJ0028.1+3103  00:28:10.73  +31:03:48.1    17.9  10.6  138    0.46     8.66  17.48
 16                        NGC513  01:24:26.85  +33:47:57.9    17.6  11.1  145    0.48     7.01  17.39
 17                        KAZ238  00:00:58.19  +33:20:38.5    18.1  11.5  149    0.50     9.03  17.50
 18                       MRK1158  01:34:59.36  +35:02:22.1    17.8  12.0  156    0.52     7.72  17.43
 19              2MASSJ00413+2816  00:41:18.70  +28:16:40.8    17.4  13.0  169    0.56    10.57  17.57
 20                   FBS0150+396  01:53:06.73  +39:55:45.2    17.7  13.4  174    0.58     9.31  17.51
 21                          3C48  01:37:41.30  +33:09:35.1    45.1  13.6  176    0.59    14.76  17.71
 22                       4C25.01  00:19:39.78  +26:02:52.3    19.3  16.0  206    0.69     6.99  17.39
 23                    PG0052+251  00:54:52.13  +25:25:38.9    17.5  16.0  207    0.69     6.94  17.38
 24              2MASSJ00294+2424  00:29:24.50  +24:24:29.0    18.9  17.1  220    0.74    10.67  17.57
 25           RXSJ015536.7+311525  01:55:36.00  +31:15:17.0    17.5  17.7  228    0.76     6.77  17.37
 26                       RBS2055  23:51:52.77  +26:19:32.5    17.5  18.3  235    0.79     6.07  17.33
 27                       RBS2061  23:55:48.21  +25:30:31.6    18.4  18.5  238    0.80     6.00  17.32
 28                         3C66A  02:22:39.61  +43:02:07.8    24.6  18.5  239    0.80    12.59  17.64
 29                RXJ0053.7+2232  00:53:46.14  +22:32:22.1    17.4  18.9  243    0.81     6.55  17.36
 30                        MRK930  23:31:58.30  +28:56:49.9    19.6  18.9  244    0.81     5.64  17.29
 31                RXJ0048.7+2127  00:48:45.30  +21:27:15.9    17.2  19.9  255    0.85    11.96  17.62
 32                        MRK357  01:22:40.58  +23:10:14.7    17.7  19.9  256    0.85     8.22  17.46
 33                          3C59  02:07:02.18  +29:30:45.9    21.9  20.7  266    0.89    11.86  17.62
 34                    PG0117+213  01:20:17.26  +21:33:46.2    17.5  21.2  272    0.91     6.28  17.34
 35                   HS0137+2329  01:40:35.00  +23:44:51.0    17.5  21.3  272    0.91     6.65  17.37
 36                 KUV02196+3253  02:22:31.99  +33:06:21.2    18.2  21.4  274    0.91     6.70  17.37
 37                RXJ0029.0+1957  00:29:03.00  +19:57:10.0    18.2  21.5  275    0.92     7.91  17.44
 38                RXJ0044.9+1921  00:44:59.10  +19:21:41.0    18.1  21.9  280    0.94     9.91  17.54
 39                        MRK335  00:06:19.58  +20:12:10.5    17.5  22.4  287    0.96     9.59  17.52
 40                       UGC1098  01:32:16.10  +21:24:38.9    17.5  22.4  287    0.96     9.41  17.52
 41           RXSJ023231.4+340435  02:32:33.10  +34:04:27.9    17.7  22.8  291    0.97     9.72  17.53
 42           RXSJ225148.5+341937  22:51:47.80  +34:19:28.9    19.0  22.9  292    0.97    10.13  17.55
 43                       MRK1148  00:51:54.76  +17:25:58.4    17.0  23.9  304    1.02     6.39  17.35
 44                       RBS2005  23:25:54.24  +21:53:14.0    17.5  25.2  320    1.07     7.99  17.44
 45                       MRK1179  02:33:22.32  +27:56:13.1    18.4  26.2  332    1.11     9.19  17.51
 46                    PG0003+158  00:05:59.24  +16:09:49.0    18.3  26.3  333    1.11     9.56  17.52
 47                      UGC12163  22:42:39.31  +29:43:31.5    18.4  26.8  339    1.13     9.09  17.50
