Scan:     24      FBS0150+396 2015-10-21 +02 44 51.0
          RADIO                  Ta*   
        km/s-BAR                 XX
    -523.7499680533530864      0.0087798
    -522.5422914909295287      0.0029743
    -521.3346149285058573     -0.0063136
    -520.1269383660157928     -0.0077394
    -518.9192618035257283      0.0069023
    -517.7115852411686774     -0.0008112
    -516.5039086786786129     -0.0038708
    -515.2962321161884347     -0.0145165
    -514.0885555537648770     -0.0090231
    -512.8808789913413193     -0.0037266
    -511.6732024288511411     -0.0008699
    -510.4655258663609629     -0.0026528
    -509.2578493039374621     -0.0004557
    -508.0501727415138475     -0.0005020
    -506.8424961790237830     -0.0018388
    -505.6348196166001685      0.0049111
    -504.4271430541100472     -0.0036931
    -503.2194664916864895     -0.0000304
    -502.0117899292629318     -0.0121707
    -500.8041133667727536     -0.0133182
    -499.5964368043492527     -0.0027845
    -498.3887602419256382      0.0016862
    -497.1810836794355168     -0.0047895
    -495.9734071169453955     -0.0017344
    -494.7657305545218378     -0.0040522
    -493.5580539920982801     -0.0090136
    -492.3503774296081588     -0.0068149
    -491.1427008671180374     -0.0048327
    -489.9350243047610434     -0.0004617
    -488.7273477422708652     -0.0012805
    -487.5196711797807438      0.0010769
    -486.3119946173571293     -0.0015967
    -485.1043180549336284     -0.0092908
    -483.8966414924434503      0.0049408
    -482.6889649300199494      0.0036731
    -481.4812883675297712      0.0014486
    -480.2736118051062135     -0.0006834
    -479.0659352426826558      0.0014605
    -477.8582586801925345     -0.0038473
    -476.6505821177689199     -0.0079426
    -475.4429055552787986     -0.0095062
    -474.2352289928552409     -0.0047592
    -473.0275524303651196      0.0071001
    -471.8198758679415050      0.0033299
    -470.6121993055180042     -0.0013700
    -469.4045227430278260      0.0019708
    -468.1968461805377046      0.0009014
    -466.9891696181807106     -0.0019328
    -465.7814930556905892      0.0030250
    -464.5738164932004111      0.0026514
    -463.3661399307769102      0.0053932
    -462.1584633683532957      0.0032627
    -460.9507868058631743      0.0017581
    -459.7431102433731098     -0.0061017
    -458.5354336809494953     -0.0055561
    -457.3277571185259376      0.0000411
    -456.1200805560358162     -0.0006565
    -454.9124039936122017      0.0107798
    -453.7047274311887008      0.0037104
    -452.4970508686985227     -0.0022032
    -451.2893743062749650     -0.0024752
    -450.0816977437847868      0.0045909
    -448.8740211813612859      0.0038025
    -447.6663446189376714      0.0062512
    -446.4586680564476069     -0.0040700
    -445.2509914939574855     -0.0020490
    -444.0433149316004915      0.0030411
    -442.8356383691103133     -0.0007660
    -441.6279618066201920     -0.0001426
    -440.4202852441965774     -0.0012219
    -439.2126086817730766      0.0019358
    -438.0049321192828984     -0.0068428
    -436.7972555567927770     -0.0087272
    -435.5895789943692193      0.0002125
    -434.3819024319456616      0.0120492
    -433.1742258694555403      0.0059895
    -431.9665493070319826      0.0053647
    -430.7588727446083681      0.0018676
    -429.5511961821182467     -0.0085744
    -428.3435196196946890     -0.0002500
    -427.1358430572045677      0.0028351
    -425.9281664947809531     -0.0016164
    -424.7204899322908886      0.0051247
    -423.5128133698672741      0.0030650
    -422.3051368073771528     -0.0033564
    -421.0974602449535951      0.0114612
    -419.8897836825300374      0.0094899
    -418.6821071200399160      0.0096329
    -417.4744305576163583     -0.0034639
    -416.2667539951927438      0.0052002
    -415.0590774327026224      0.0051851
    -413.8514008702125011     -0.0089962
    -412.6437243077889434     -0.0029830
    -411.4360477453653857      0.0069874
    -410.2283711828752644      0.0181949
    -409.0206946203851430      0.0107843
    -407.8130180579615285      0.0001711
    -406.6053414955379708      0.0040215
    -405.3976649330478494      0.0049802
    -404.1899883706242349      0.0027330
    -402.9823118082007340     -0.0045652
    -401.7746352457106127     -0.0019690
    -400.5669586832869982      0.0048954
    -399.3592821207969337      0.0056812
    -398.1516055583733191     -0.0092654
    -396.9439289959497614      0.0007392
    -395.7362524334596401      0.0025688
    -394.5285758709695187      0.0007432
    -393.3208993086125247     -0.0074487
    -392.1132227461223465      0.0003199
    -390.9055461836322252     -0.0032709
    -389.6978696212086106     -0.0014418
    -388.4901930587851098     -0.0020392
    -387.2825164962949884     -0.0006673
    -386.0748399338048102     -0.0066939
    -384.8671633713813094     -0.0026055
    -383.6594868089576948     -0.0062446
    -382.4518102464675735     -0.0017372
    -381.2441336840440158      0.0027501
    -380.0364571216204013      0.0076699
    -378.8287805591302799      0.0018644
    -377.6211039967067222      0.0016705
    -376.4134274342166009     -0.0020661
    -375.2057508717930432      0.0049955
    -373.9980743093029218      0.0080339
    -372.7903977468793641     -0.0028144
    -371.5827211843891860     -0.0036307
    -370.3750446219656851      0.0077606
    -369.1673680595420706     -0.0037892
    -367.9596914970519492      0.0030936
    -366.7520149346283915     -0.0068820
    -365.5443383722047770     -0.0021166
    -364.3366618097147125      0.0018201
    -363.1289852472245911      0.0062302
    -361.9213086848009766      0.0035312
    -360.7136321223774189      0.0072438
    -359.5059555598872976     -0.0008137
    -358.2982789974637399     -0.0038830
    -357.0906024350401822     -0.0057510
    -355.8829258725500608     -0.0106317
    -354.6752493100598826     -0.0040251
    -353.4675727476363818     -0.0061642
    -352.2598961852127673      0.0044926
    -351.0522196227226459     -0.0002474
    -349.8445430602990882      0.0058863
    -348.6368664978089669      0.0134846
