Scan:     10           KAZ238 2015-10-21 +00 08 17.0
          RADIO                  Ta*   
        km/s-BAR                 XX
    -529.1251206491930361     -0.0094445
    -527.9173964295101769     -0.0031073
    -526.7096722098273176     -0.0035478
    -525.5019479901444583     -0.0042893
    -524.2942237704614854     -0.0149588
    -523.0864995507786261     -0.0084830
    -521.8787753310957669      0.0015662
    -520.6710511114129076     -0.0044712
    -519.4633268917965552     -0.0050926
    -518.2556026721136959      0.0003391
    -517.0478784524308367     -0.0119962
    -515.8401542327479774     -0.0089002
    -514.6324300129984977      0.0031902
    -513.4247057933156384      0.0032805
    -512.2169815736327791     -0.0022046
    -511.0092573539498630     -0.0119517
    -509.8015331343335674     -0.0050507
    -508.5938089146507082     -0.0026438
    -507.3860846949678489     -0.0000138
    -506.1783604752849328      0.0026269
    -504.9706362556020736      0.0063172
    -503.7629120359192143     -0.0066036
    -502.5551878162362982     -0.0016668
    -501.3474635965534389      0.0008155
    -500.1397393768705797      0.0015073
    -498.9320151571876636      0.0052341
    -497.7242909375048043      0.0070968
    -496.5165667178884519     -0.0004477
    -495.3088424982055926      0.0002463
    -494.1011182784561697     -0.0060263
    -492.8933940587733105     -0.0142780
    -491.6856698390903944     -0.0031163
    -490.4779456194075351     -0.0017218
    -489.2702213997246758      0.0079002
    -488.0624971800417597      0.0033267
    -486.8547729604254641      0.0036006
    -485.6470487407425480     -0.0024960
    -484.4393245210596888      0.0020379
    -483.2316003013768295     -0.0066071
    -482.0238760816939134     -0.0010695
    -480.8161518620110542      0.0039618
    -479.6084276423281949     -0.0043076
    -478.4007034226452788     -0.0004986
    -477.1929792029624195     -0.0006247
    -475.9852549832795603     -0.0002391
    -474.7775307635966442     -0.0099535
    -473.5698065439137849     -0.0045457
    -472.3620823242309257     -0.0120763
    -471.1543581045480096     -0.0031161
    -469.9466338848651503     -0.0004280
    -468.7389096651822911      0.0045774
    -467.5311854454993750     -0.0028077
    -466.3234612258165157     -0.0058130
    -465.1157370061336565      0.0028090
    -463.9080127864507404     -0.0068002
    -462.7002885668343879     -0.0042271
    -461.4925643471515286      0.0050941
    -460.2848401274686694      0.0002515
    -459.0771159077857533      0.0065942
    -457.8693916881028940      0.0030713
    -456.6616674684200348      0.0000838
    -455.4539432487371187      0.0019785
    -454.2462190290542594     -0.0019415
    -453.0384948093714002     -0.0050739
    -451.8307705896884841     -0.0068571
    -450.6230463700056248     -0.0038754
    -449.4153221503227655     -0.0074313
    -448.2075979306398494      0.0081227
    -446.9998737109569902      0.0078592
    -445.7921494912741309      0.0066163
    -444.5844252715912148     -0.0064241
    -443.3767010519083556     -0.0024522
    -442.1689768322254963     -0.0046361
    -440.9612526125425802     -0.0055094
    -439.7535283929263414     -0.0002519
    -438.5458041732434253     -0.0049323
    -437.3380799535605661     -0.0021607
    -436.1303557338777068      0.0013105
    -434.9226315141947907      0.0031552
    -433.7149072945119315      0.0118328
    -432.5071830748290722      0.0104718
    -431.2994588550795925     -0.0014630
    -430.0917346354632969      0.0125281
    -428.8840104157804376     -0.0007462
    -427.6762861960975215     -0.0052622
    -426.4685619764146622      0.0127814
    -425.2608377567318030      0.0106353
    -424.0531135370488869      0.0108706
    -422.8453893173660276      0.0023015
    -421.6376650976831684     -0.0007071
    -420.4299408780002523      0.0083259
    -419.2222166583173930     -0.0058852
    -418.0144924386345338     -0.0161617
    -416.8067682190181813     -0.0048245
    -415.5990439993353220     -0.0025334
    -414.3913197796524059     -0.0003699
    -413.1835955599695467     -0.0007853
    -411.9758713402866874     -0.0050591
    -410.7681471205372645      0.0045612
    -409.5604229008542916      0.0056207
    -408.3526986811714323      0.0032363
    -407.1449744615551367     -0.0025342
    -405.9372502418722775      0.0036381
    -404.7295260221894182     -0.0067419
    -403.5218018025065021      0.0056967
    -402.3140775828236428      0.0046502
    -401.1063533631407836     -0.0022643
    -399.8986291434578675      0.0040960
    -398.6909049237750082      0.0058146
    -397.4831807040921490      0.0074781
    -396.2754564844092329      0.0123440
    -395.0677322647263736      0.0058689
    -393.8600080451100212      0.0100758
    -392.6522838254271619     -0.0017535
    -391.4445596057442458     -0.0011699
    -390.2368353859948797     -0.0013796
    -389.0291111663119636      0.0025433
    -387.8213869466291044     -0.0063978
    -386.6136627269462451     -0.0062176
    -385.4059385072633290      0.0000329
    -384.1982142875804698      0.0052248
    -382.9904900679641173     -0.0005734
    -381.7827658482812581      0.0032843
    -380.5750416285983420      0.0009711
    -379.3673174089154827      0.0075654
    -378.1595931892326234     -0.0022366
    -376.9518689695497073     -0.0064203
    -375.7441447498668481     -0.0029677
    -374.5364205301839888      0.0026479
    -373.3286963105010727     -0.0049477
    -372.1209720908182135     -0.0044990
    -370.9132478711353542      0.0022682
    -369.7055236514524381     -0.0120682
    -368.4977994317695789     -0.0058910
    -367.2900752120867196     -0.0071295
    -366.0823509924038035     -0.0063150
    -364.8746267727209442     -0.0094417
    -363.6669025530380850     -0.0017959
    -362.4591783333551689      0.0066148
    -361.2514541136723096      0.0026985
    -360.0437298940559572      0.0082639
    -358.8360056743730979      0.0023064
    -357.6282814546902387      0.0075862
    -356.4205572350073226      0.0053126
    -355.2128330153244633     -0.0029792
    -354.0051087956416040      0.0088074
    -352.7973845759586879      0.0091619
    -351.5896603562758287     -0.0075104
    -350.3819361365929694     -0.0039848
    -349.1742119169100533     -0.0023588
    -347.9664876972271941      0.0078796
    -346.7587634775443348      0.0069409
    -345.5510392578614187     -0.0039014
    -344.3433150381785595     -0.0029271
    -343.1355908184957002     -0.0013676
    -341.9278665988127841     -0.0069892
    -340.7201423791299248     -0.0026491
    -339.5124181594470656     -0.0000123
    -338.3046939397641495     -0.0005714
    -337.0969697201479107     -0.0061647
    -335.8892455004649946     -0.0038823
    -334.6815212807821354      0.0003528
    -333.4737970610992761     -0.0010790
    -332.2660728414163600     -0.0034170
    -331.0583486217335007      0.0042739
    -329.8506244020506415     -0.0007735
    -328.6429001823011617     -0.0100607
    -327.4351759626182456      0.0081293
    -326.2274517430020069     -0.0007724
    -325.0197275233190908     -0.0064661
    -323.8120033036362315      0.0034789
    -322.6042790839533723      0.0113316
    -321.3965548642704562      0.0028750
    -320.1888306445875969     -0.0006616
    -318.9811064249047377      0.0076608
    -317.7733822052218216      0.0100121
    -316.5656579855389623      0.0102378
    -315.3579337658561030      0.0014055
    -314.1502095461731869     -0.0045921
    -312.9424853265568913      0.0046569
    -311.7347611068739752      0.0010261
    -310.5270368871911160      0.0006201
    -309.3193126675082567     -0.0106105
    -308.1115884477588338      0.0010375
    -306.9038642280759177     -0.0025377
    -305.6961400083930585     -0.0130808
    -304.4884157887101992      0.0041989
    -303.2806915690938467      0.0134938
    -302.0729673494109875     -0.0061171
    -300.8652431297280714      0.0002276
    -299.6575189100452121     -0.0051071
    -298.4497946903623529      0.0056238
    -297.2420704706794368     -0.0041659
    -296.0343462509965775     -0.0074503
    -294.8266220313136614     -0.0054476
    -293.6188978116308022     -0.0004266
    -292.4111735919479429      0.0085972
    -291.2034493722650268      0.0069303
    -289.9957251526487312      0.0061945
    -288.7880009329658151     -0.0000465
    -287.5802767132163922     -0.0035653
    -286.3725524935335329     -0.0001879
    -285.1648282738506737     -0.0085810
    -283.9571040541677576     -0.0066598
    -282.7493798344848983     -0.0032984
    -281.5416556148020391     -0.0023118
    -280.3339313951856866     -0.0073536
    -279.1262071755028273      0.0009017
    -277.9184829558199112      0.0062131
    -276.7107587361370520     -0.0056453
    -275.5030345164541927     -0.0036191
    -274.2953102967712766     -0.0059229
    -273.0875860770884174      0.0037770
    -271.8798618574055581      0.0001487
    -270.6721376377226420     -0.0035936
    -269.4644134180397828      0.0022643
    -268.2566891983569235      0.0045350
    -267.0489649787406279      0.0039168
    -265.8412407589911481     -0.0070497
    -264.6335165393082889      0.0035357
    -263.4257923196253728      0.0090252
    -262.2180680999425135      0.0019728
    -261.0103438802596543     -0.0013045
    -259.8026196605767950     -0.0010706
    -258.5948954408938789     -0.0054205
    -257.3871712212110197     -0.0005854
    -256.1794470015947240     -0.0042205
    -254.9717227819118079      0.0063623
    -253.7639985622289487      0.0004956
    -252.5562743425460610     -0.0057004
    -251.3485501228631733     -0.0071978
    -250.1408259031803141      0.0080438
    -248.9331016834974264      0.0059439
    -247.7253774638145387      0.0044288
    -246.5176532441316795     -0.0020497
    -245.3099290244487918      0.0013345
    -244.1022048047659041     -0.0035191
    -242.8944805850830448      0.0073009
    -241.6867563654001572      0.0042413
    -240.4790321457172695      0.0028059
    -239.2713079260344102      0.0018893
    -238.0635837063515226      0.0057013
    -236.8558594866686349     -0.0217338
    -235.6481352669857756      0.0023139
    -234.4404110473028879      0.0089820
    -233.2326868276865639      0.0019407
    -232.0249626080037046     -0.0051464
    -230.8172383883208170     -0.0025524
    -229.6095141686379293      0.0016606
    -228.4017899489550700     -0.0039608
    -227.1940657292721824     -0.0109407
    -225.9863415095892947      0.0046924
    -224.7786172898398718      0.0033150
    -223.5708930702235477      0.0002800
    -222.3631688505406601     -0.0097588
    -221.1554446308578008      0.0001412
    -219.9477204111749131      0.0019581
    -218.7399961914920254      0.0018617
    -217.5322719718091662      0.0011536
    -216.3245477521262785     -0.0048791
    -215.1168235324433908      0.0014626
    -213.9090993127605316      0.0071764
    -212.7013750930776155     -0.0020455
    -211.4936508733947278      0.0004572
    -210.2859266537784322     -0.0011107
    -209.0782024340955445     -0.0042382
    -207.8704782144126852     -0.0054564
    -206.6627539947297976     -0.0015395
    -205.4550297750469099      0.0074789
    -204.2473055552974586     -0.0058282
    -203.0395813356145993     -0.0042441
    -201.8318571159317116     -0.0013563
    -200.6241328963154160      0.0074141
    -199.4164086766325283      0.0019586
    -198.2086844569496407     -0.0028883
    -197.0009602372667814     -0.0032030
    -195.7932360175838937     -0.0056410
    -194.5855117979010060      0.0129320
    -193.3777875782181468      0.0038708
    -192.1700633585352591     -0.0059583
    -190.9623391388523714      0.0003991
    -189.7546149191695122     -0.0017908
    -188.5468906994866245      0.0045129
    -187.3391664798703005      0.0060421
    -186.1314422601874412      0.0018275
    -184.9237180405045535     -0.0092428
    -183.7159938207551022     -0.0017617
    -182.5082696010722145      0.0082216
    -181.3005453813893553     -0.0078963
    -180.0928211617064676      0.0069726
    -178.8850969420235799      0.0056973
    -177.6773727223407207     -0.0063639
    -176.4696485027243966     -0.0077671
    -175.2619242830415374      0.0024252
    -174.0542000633586497      0.0046797
    -172.8464758436757620      0.0031523
    -171.6387516239929028     -0.0041722
    -170.4310274043100151     -0.0056261
    -169.2233031846271274      0.0070413
    -168.0155789649442681      0.0122314
    -166.8078547452613805      0.0062400
    -165.6001305255784928      0.0026622
    -164.3924063058956335     -0.0051878
    -163.1846820862127458     -0.0028671
    -161.9769578665298582     -0.0014480
    -160.7692336468469989     -0.0051108
    -159.5615094271641112     -0.0045602
    -158.3537852074812236      0.0063081
    -157.1460609877983643     -0.0032087
    -155.9383367681154766     -0.0055066
    -154.7306125484325889     -0.0039645
    -153.5228883288162649      0.0121687
    -152.3151641091333772      0.0096324
    -151.1074398894505180     -0.0013615
    -149.8997156697676303     -0.0033205
    -148.6919914500847426     -0.0058402
    -147.4842672304018549      0.0066410
    -146.2765430107189957     -0.0028803
    -145.0688187910361080     -0.0056424
    -143.8610945713532203      0.0063022
    -142.6533703516703611      0.0061350
    -141.4456461319874734      0.0091001
    -140.2379219123045857      0.0140614
    -139.0301976926217264     -0.0011204
    -137.8224734729388388     -0.0009524
    -136.6147492532559511      0.0062127
    -135.4070250335730918     -0.0039860
    -134.1993008138902042     -0.0031507
    -132.9915765942073165      0.0044548
    -131.7838523745244572      0.0038817
    -130.5761281549081332     -0.0005819
    -129.3684039352252455      0.0098113
    -128.1606797155423862     -0.0046841
    -126.9529554958595128      0.0049633
    -125.7452312761766251      0.0010825
    -124.5375070564937516      0.0048430
    -123.3297828368108782      0.0112537
    -122.1220586170614268      0.0158650
    -120.9143343973785392      0.0147235
    -119.7066101777622436      0.0213259
    -118.4988859580793559      0.0094550
    -117.2911617383964824      0.0145429
    -116.0834375187136089      0.0106606
    -114.8757132990307213      0.0059985
    -113.6679890793478478      0.0112579
    -112.4602648596649601      0.0118594
    -111.2525406399820724      0.0179653
    -110.0448164202991990      0.0035864
    -108.8370922006163113      0.0053131
    -107.6293679809334378      0.0096713
    -106.4216437613171280     -0.0012363
    -105.2139195416342545      0.0130206
    -104.0061953219513811      0.0115346
    -102.7984711022684934      0.0095491
    -101.5907468825856199      0.0013062
    -100.3830226628361686      0.0169815
     -99.1752984431532951      0.0153436
     -97.9675742234704074      0.0190682
     -96.7598500038541118      0.0241940
     -95.5521257841712242      0.0245947
     -94.3444015644883507      0.0236794
     -93.1366773448054630      0.0365582
     -91.9289531251225895      0.0344369
     -90.7212289054397161      0.0539830
     -89.5135046857568284      0.0586281
     -88.3057804660739549      0.0731483
     -87.0980562463910815      0.0818368
     -85.8903320267081938      0.0992259
     -84.6826078070253203      0.1076913
     -83.4748835874089963      0.1392401
     -82.2671593677261228      0.1561066
     -81.0594351480432493      0.1733904
     -79.8517109282937980      0.1861657
     -78.6439867086109103      0.2293065
     -77.4362624889280369      0.2521122
     -76.2285382692451634      0.2770894
     -75.0208140495622757      0.2977207
     -73.8130898299459659      0.3390200
     -72.6053656102630924      0.3763458
     -71.3976413905802190      0.4020154
     -70.1899171708973313      0.4431507
     -68.9821929512144578      0.4916310
     -67.7744687315315844      0.5319575
     -66.5667445118486967      0.5522746
     -65.3590202921658232      0.6045769
     -64.1512960724829355      0.6627325
     -62.9435718528000621      0.6954874
     -61.7358476331171815      0.7685256
     -60.5281234135008717      0.8410894
     -59.3203991937514274      0.9183491
     -58.1126749740685469      1.0093184
     -56.9049507543856663      1.1155547
     -55.6972265347027928      1.2152712
     -54.4895023150199123      1.3232883
     -53.2817780953370317      1.4448953
     -52.0740538756541582      1.5759528
     -50.8663296560378413      1.6471870
     -49.6586054363549607      1.6938035
     -48.4508812166720801      1.7090162
     -47.2431569969892067      1.7220997
     -46.0354327773063261      1.7348146
     -44.8277085576234455      1.7391431
     -43.6199843379405721      1.7542367
     -42.4122601182576915      1.7855365
     -41.2045358985748109      1.8157279
     -39.9968116788919374      1.8383723
     -38.7890874592090569      1.8784471
     -37.5813632395261763      1.9060502
     -36.3736390198433028      1.9590981
     -35.1659148001604223      2.0014677
     -33.9581905804775346      2.0222189
     -32.7504663607946611      2.0480342
     -31.5427421411117841      2.0528271
     -30.3350179214289035      2.0427284
     -29.1272937017460229      2.0201082
     -27.9195694820631459      1.9815394
     -26.7118452624468325      1.9166842
     -25.5041210427639555      1.8659151
     -24.2963968230810750      1.8081145
     -23.0886726033981979      1.7856276
     -21.8809483837153209      1.7912588
     -20.6732241640324403      1.8151506
     -19.4654999443495633      1.9121401
     -18.2577757246001156      2.0727258
     -17.0500515049838022      2.3319564
     -15.8423272853009252      2.7198303
     -14.6346030656180464      3.2685313
     -13.4268788459351676      4.0506201
     -12.2191546262522888      5.0598316
     -11.0114304065694100      6.3732376
      -9.8037061868865312      7.5764842
      -8.5959819672036524      8.8475990
      -7.3882577475207736     10.4450283
      -6.1805335278378939     11.8437614
      -4.9728093081550160     12.1095848
      -3.7650850885387044     10.7703285
      -2.5573608688558256      9.0376759
      -1.3496366491729468      8.8397474
      -0.1419124294900681      9.7901211
       1.0658117901928108      9.8482161
       2.2735360099422568      8.2902241
       3.4812602295918520      5.7816634
       4.6889844492747308      3.7464199
       5.8967086689576096      2.3591795
       7.1044328886404884      1.4646802
       8.3121571083233672      0.9354962
       9.5198813279729624      0.6223726
      10.7276055476558412      0.4506733
      11.9353297673387200      0.3174479
      13.1430539870215988      0.2355160
      14.3507782067044776      0.1808134
      15.5585024263873564      0.1218333
      16.7662266460369516      0.1032362
      17.9739508657198321      0.0916447
      19.1816750854027092      0.0621869
      20.3893993050855862      0.0478432
      21.5971235247684668      0.0272682
      22.8048477444846291      0.0239433
      24.0125719641675097      0.0224473
      25.2202961838503867      0.0079778
      26.4280204034999819      0.0038183
      27.6357446231828625      0.0013771
      28.8434688428657395     -0.0003420
      30.0511930625486166     -0.0055998
      31.2589172822314971     -0.0084157
      32.4666415018810923      0.0086073
      33.6743657215639658      0.0132800
      34.8820899412468464      0.0040629
      36.0898141609297340      0.0030097
      37.2975383806126075      0.0062565
      38.5052626002954881     -0.0061403
      39.7129868199450797      0.0087795
      40.9207110396279603      0.0003889
      42.1284352593108409      0.0102584
      43.3361594790270033      0.0015183
      44.5438836987098767      0.0035089
      45.7516079183927573      0.0111937
      46.9593321380756379      0.0002824
      48.1670563577585185      0.0078836
      49.3747805774081101      0.0091981
      50.5825047970909907      0.0016423
      51.7902290167738713      0.0049992
      52.9979532364567518      0.0046116
      54.2056774561396253      0.0079028
      55.4134016758225059      0.0008194
      56.6211258954720975      0.0051633
      57.8288501151549781      0.0003083
      59.0365743348378587     -0.0088237
      60.2442985545207321     -0.0068336
      61.4520227742036127     -0.0065726
      62.6597469938532114      0.0015938
      63.8674712135360920     -0.0031088
      65.0751954332855433      0.0072803
      66.2829196529351350      0.0011819
      67.4906438726180085      0.0000828
      68.6983680923008961     -0.0048330
      69.9060923119837696     -0.0000271
      71.1138165316666431      0.0005291
      72.3215407513162347     -0.0005746
      73.5292649709991224      0.0066707
      74.7369891906819959      0.0011259
      75.9447134103648693     -0.0007881
      77.1524376300477570      0.0022218
      78.3601618497306305      0.0041965
      79.5678860693802221      0.0009047
      80.7756102890631098      0.0009078
      81.9833345087459833      0.0032664
      83.1910587284288567     -0.0001850
      84.3987829481117444      0.0023846
      85.6065071678278997      0.0066083
      86.8142313875107874     -0.0074042
      88.0219556071936609     -0.0129599
      89.2296798268432667     -0.0084624
      90.4374040465261402     -0.0037273
      91.6451282662090279     -0.0037529
      92.8528524858919013     -0.0066577
      94.0605767055747748     -0.0084140
      95.2683009252576625     -0.0103061
      96.4760251449072541      0.0119619
      97.6837493645901276      0.0057887
      98.8914735842730011     -0.0127489
     100.0991978039558887     -0.0035201
     101.3069220236387622     -0.0057576
     102.5146462432883538     -0.0105717
     103.7223704629712415     -0.0087560
     104.9300946826541150     -0.0050524
     106.1378189023702845     -0.0004582
     107.3455431220531580     -0.0078071
     108.5532673417360314     -0.0013113
     109.7609915614189191     -0.0137652
     110.9687157811017926     -0.0081730
     112.1764400007846660     -0.0124856
     113.3841642204342577      0.0026841
     114.5918884401171596      0.0006414
     115.7996126598000330     -0.0001410
     117.0073368794829065     -0.0100068
     118.2150610991657942     -0.0068028
     119.4227853188153858     -0.0032489
     120.6305095384982593      0.0014844
     121.8382337581811470     -0.0019559
     123.0459579778640204     -0.0006971
     124.2536821975468939     -0.0034324
     125.4614064172297816      0.0007998
     126.6691306369459369     -0.0068675
     127.8768548566288104     -0.0026376
     129.0845790762784304      0.0020581
     130.2923032959612897      0.0017343
     131.5000275156441774     -0.0031402
     132.7077517353270366      0.0024842
     133.9154759550099243     -0.0009407
     135.1232001746928120     -0.0064462
     136.3309243943424178     -0.0055443
     137.5386486140252771      0.0031305
     138.7463728337081648     -0.0031356
     139.9540970533910524      0.0029390
     141.1618212730739117     -0.0020762
     142.3695454927234891      0.0013385
     143.5772697124063768     -0.0082292
     144.7849939320892645     -0.0032219
     145.9927181517721237     -0.0067718
     147.2004423714883217     -0.0017302
     148.4081665911711809      0.0038451
     149.6158908108540686      0.0006858
     150.8236150305369563      0.0101027
     152.0313392502198155      0.0039109
     153.2390634698693930      0.0074160
     154.4467876895522807      0.0155809
     155.6545119092351683      0.0105943
     156.8622361289180560      0.0009547
     158.0699603486009153      0.0055461
     159.2776845682505211      0.0046507
     160.4854087879334088      0.0055116
     161.6931330076162965      0.0060805
     162.9008572272991557     -0.0032594
     164.1085814469820434     -0.0144924
     165.3163056666649311     -0.0005593
     166.5240298863145370      0.0020397
     167.7317541060639883      0.0007876
     168.9394783257135657     -0.0003452
     170.1472025453964250     -0.0007489
     171.3549267650793126     -0.0068769
     172.5626509847622003     -0.0040724
     173.7703752044450596     -0.0030177
     174.9780994241279473      0.0016047
     176.1858236437775531      0.0020267
     177.3935478634604408      0.0088754
     178.6012720831433001      0.0016467
     179.8089963028261877      0.0048074
     181.0167205225090754      0.0053796
     182.2244447421586528      0.0011750
     183.4321689618415121     -0.0015625
     184.6398931815244282     -0.0097538
     185.8476174012073159     -0.0058609
     187.0553416208901751     -0.0086074
     188.2630658406063446     -0.0073778
     189.4707900602892039     -0.0054090
     190.6785142799720916      0.0028444
     191.8862384996549793      0.0003042
     193.0939627193045851      0.0001255
     194.3016869389874444      0.0052844
     195.5094111586703320      0.0047562
     196.7171353783532197     -0.0019544
     197.9248595980360790     -0.0001369
     199.1325838176856848     -0.0088325
     200.3403080373685441     -0.0072296
     201.5480322570514318     -0.0067574
     202.7557564767343194     -0.0094161
     203.9634806964171787     -0.0028325
     205.1712049161000664      0.0010230
     206.3789291357496722     -0.0021493
     207.5866533554325599     -0.0038032
     208.7943775751154192     -0.0076172
     210.0021017948315887     -0.0032990
     211.2098260145144479      0.0075758
     212.4175502341973356      0.0012413
     213.6252744538802233      0.0031310
     214.8329986735630825      0.0128937
     216.0407228932126884      0.0074225
     217.2484471128955761      0.0037648
     218.4561713325784638      0.0045953
     219.6638955522613230      0.0006013
     220.8716197719442107     -0.0075785
     222.0793439916270984     -0.0026895
     223.2870682112767042      0.0017806
     224.4947924309595635     -0.0003612
     225.7025166506424512      0.0026858
     226.9102408703253388      0.0042773
     228.1179650900081981     -0.0012343
     229.3256893096577755     -0.0012120
     230.5334135294072269     -0.0014908
     231.7411377490901145      0.0023887
     232.9488619687397204     -0.0074776
     234.1565861884226081     -0.0080589
     235.3643104081054673     -0.0004173
     236.5720346277883550     -0.0030352
     237.7797588474712427      0.0069323
     238.9874830671208201     -0.0032403
     240.1952072868037078     -0.0017404
     241.4029315064865671      0.0034028
     242.6106557261694547      0.0042840
