Scan:      9          RBS2055 2015-10-20 +23 57 20.0
          RADIO                  Ta*   
        km/s-BAR                 XX
    -528.6965072868010793      0.0143151
    -527.4887717999373535      0.0046733
    -526.2810363131401346     -0.0028984
    -525.0733008263430293     -0.0036585
    -523.8655653395459240      0.0087400
    -522.6578298526821982      0.0147987
    -521.4500943658849792      0.0022788
    -520.2423588790878739      0.0022982
    -519.0346233922241481     -0.0046220
    -517.8268879054269291      0.0001399
    -516.6191524186298238     -0.0037411
    -515.4114169318327185     -0.0092213
    -514.2036814449689928     -0.0087429
    -512.9959459581717738     -0.0069221
    -511.7882104713746685      0.0006474
    -510.5804749845775063      0.0000516
    -509.3727394977137806     -0.0062024
    -508.1650040109832389     -0.0082386
    -506.9572685241194563      0.0024990
    -505.7495330373223510     -0.0116842
    -504.5417975504585684     -0.0191349
    -503.3340620637279699     -0.0062255
    -502.1263265768643009     -0.0172362
    -500.9185910900671388      0.0001402
    -499.7108556032699767      0.0099288
    -498.5031201164728145      0.0044270
    -497.2953846296091456     -0.0048803
    -496.0876491428119266     -0.0035433
    -494.8799136560148213      0.0045140
    -493.6721781692176592      0.0033063
    -492.4644426823539334     -0.0035618
    -491.2567071955567712     -0.0007040
    -490.0489717087596091     -0.0047110
    -488.8412362218958833     -0.0002679
    -487.6335007350987212     -0.0024499
    -486.4257652483016159     -0.0040465
    -485.2180297615044537     -0.0035707
    -484.0102942746407280     -0.0180515
    -482.8025587878435658      0.0028018
    -481.5948233010464605      0.0063906
    -480.3870878142492984      0.0001580
    -479.1793523273855726      0.0028071
    -477.9716168406549741     -0.0021013
    -476.7638813537912483     -0.0042024
    -475.5561458669940862      0.0045104
    -474.3484103801303604      0.0011449
    -473.1406748933997619      0.0035305
    -471.9329394065360361      0.0035855
    -470.7252039197388740      0.0045312
    -469.5174684329417687      0.0015696
    -468.3097329461446066      0.0042818
    -467.1019974592808808     -0.0076114
    -465.8942619724837186     -0.0006800
    -464.6865264856866133      0.0119166
    -463.4787909988894512      0.0050935
    -462.2710555120257254     -0.0037119
    -461.0633200252285633     -0.0013885
    -459.8555845384313443      0.0001905
    -458.6478490515676754     -0.0002322
    -457.4401135647705132     -0.0049374
    -456.2323780779733511     -0.0010126
    -455.0246425911761889     -0.0001451
    -453.8169071043125200     -0.0028798
    -452.6091716175153010     -0.0051013
    -451.4014361307181389     -0.0039884
    -450.1937006439210336      0.0073743
    -448.9859651570573078      0.0115935
    -447.7782296703267662     -0.0011121
    -446.5704941834629835      0.0101048
    -445.3627586966658782      0.0037232
    -444.1550232098020956      0.0067484
    -442.9472877230714971      0.0053925
    -441.7395522362078282     -0.0032515
    -440.5318167494106660     -0.0110801
    -439.3240812626135039     -0.0001660
    -438.1163457758163418      0.0042028
    -436.9086102889526728     -0.0045859
    -435.7008748021554538      0.0145545
    -434.4931393153582917      0.0077324
    -433.2854038284946228      0.0092643
    -432.0776683416974606      0.0098358
    -430.8699328549002985     -0.0000788
    -429.6621973681031363      0.0039303
    -428.4544618812394106     -0.0035722
    -427.2467263944422484     -0.0067821
    -426.0389909076451431     -0.0081532
