Scan:    409          RBS2061 2015-10-23 +21 48 02.0
          RADIO                  Ta*   
        km/s-BAR                 XX
    -528.3083855142560878     -0.0058133
    -527.1006456601783157     -0.0000594
    -525.8929058061669366     -0.0098977
    -524.6851659521555575     -0.0058653
    -523.4774260980777854      0.0018337
    -522.2696862439998995     -0.0009758
    -521.0619463899886341      0.0009182
    -519.8542065359107482      0.0064720
    -518.6464666818994829      0.0030601
    -517.4387268278881038      0.0000909
    -516.2309869738102179     -0.0014204
    -515.0232471197989526     -0.0157698
    -513.8155072657210667      0.0065035
    -512.6077674116431808     -0.0027349
    -511.4000275576319154     -0.0140235
    -510.1922877036205932     -0.0125620
    -508.9845478495427642      0.0068355
    -507.7768079955314988     -0.0053322
    -506.5690681414536130      0.0019304
    -505.3613282873757271      0.0001316
    -504.1535884333644049     -0.0128316
    -502.9458485793531395      0.0032131
    -501.7381087252752536      0.0094278
    -500.5303688712639882      0.0020340
    -499.3226290172526660     -0.0000605
    -498.1148891631747802     -0.0039513
    -496.9071493090968943     -0.0031277
    -495.6994094550856289      0.0042785
    -494.4916696010077999     -0.0004295
    -493.2839297469964777      0.0018842
    -492.0761898929851554     -0.0068447
    -490.8684500389072696     -0.0089631
    -489.6607101848294405      0.0000475
    -488.4529703308181752      0.0048014
    -487.2452304767402893     -0.0018248
    -486.0374906227289671      0.0043595
    -484.8297507687176449     -0.0034426
    -483.6220109146398158     -0.0069676
    -482.4142710605619300     -0.0068391
    -481.2065312065506646     -0.0050076
    -479.9987913524727787      0.0003722
    -478.7910514984614565      0.0113102
    -477.5833116444501911     -0.0004466
    -476.3755717903723053      0.0031089
    -475.1678319363610399      0.0027592
    -473.9600920822831540      0.0025079
    -472.7523522282053250      0.0061524
    -471.5446123741939459     -0.0059087
    -470.3368725201826805     -0.0060674
    -469.1291326661047947     -0.0009791
    -467.9213928120934725     -0.0014736
    -466.7136529580156434      0.0004936
    -465.5059131039377576      0.0051059
    -464.2981732499264922     -0.0038854
    -463.0904333959152268      0.0014888
    -461.8826935418373409     -0.0003066
    -460.6749536878260187     -0.0007130
    -459.4672138338146965      0.0073705
    -458.2594739797368675     -0.0000048
    -457.0517341256589816     -0.0121357
    -455.8439942715810957     -0.0031042
    -454.6362544175698304     -0.0069045
    -453.4285145635585081     -0.0005083
    -452.2207747094806223      0.0063786
    -451.0130348554693569      0.0027634
    -449.8052950013914710     -0.0100436
    -448.5975551473136420     -0.0012599
    -447.3898152933023198      0.0012942
    -446.1820754392909976      0.0092135
    -444.9743355852131685      0.0154439
    -443.7665957312018463      0.0069364
    -442.5588558771240173     -0.0036330
    -441.3511160230461314      0.0070759
    -440.1433761690348092      0.0066326
    -438.9356363150235438      0.0048712
    -437.7278964609456580     -0.0063243
    -436.5201566069343926     -0.0014382
    -435.3124167529230704     -0.0094737
    -434.1046768988451845      0.0017853
    -432.8969370447672986     -0.0045793
    -431.6891971907560333      0.0059632
    -430.4814573366781474      0.0016983
    -429.2737174826668252     -0.0002988
    -428.0659776286555598      0.0083815
    -426.8582377745776739      0.0034732
    -425.6504979204998449      0.0005414
    -424.4427580664885227      0.0034890
    -423.2350182124106936      0.0034299
    -422.0272783583993714      0.0023938
    -420.8195385043880492      0.0010452
    -419.6117986503102202      0.0072037
    -418.4040587962988980      0.0113183
    -417.1963189422210689      0.0049094
    -415.9885790881431831      0.0054943
    -414.7808392341318608      0.0032629
    -413.5730993801205955     -0.0091906
    -412.3653595260427096     -0.0009105
    -411.1576196720313874      0.0071144
    -409.9498798179535015      0.0067250
    -408.7421399638756156     -0.0026689
    -407.5344001098643503      0.0143900
    -406.3266602558530849      0.0030210
    -405.1189204017751990     -0.0009874
    -403.9111805477638768     -0.0050330
    -402.7034406936859909     -0.0048615
    -401.4957008396081619      0.0024385
    -400.2879609855968965     -0.0061827
    -399.0802211315855743      0.0137846
    -397.8724812775077453      0.0098189
    -396.6647414234963662      0.0068571
    -395.4570015694851008     -0.0036343
    -394.2492617154072718     -0.0108316
    -393.0415218613293860     -0.0048958
    -391.8337820073180637     -0.0062018
    -390.6260421532402347      0.0029913
    -389.4183022992289125     -0.0031794
    -388.2105624452176471      0.0062604
    -387.0028225911397612     -0.0036519
    -385.7950827370618754      0.0008605
    -384.5873428830505532      0.0026343
    -383.3796030289726673     -0.0071387
    -382.1718631749614019      0.0036738
    -380.9641233209501365     -0.0007114
    -379.7563834668722507     -0.0023533
    -378.5486436128609284     -0.0009128
    -377.3409037587830426      0.0048224
    -376.1331639047052136     -0.0015379
    -374.9254240506939482      0.0097828
    -373.7176841966826260      0.0023107
    -372.5099443426047969      0.0034636
    -371.3022044885934179     -0.0000801
