Scan:    445  RXSJ0155.6+3115 2015-10-24 +04 04 30.0
          RADIO                  Ta*   
        km/s-BAR                 I
    -521.6822968560946947     -0.0071196
    -520.4746094905974587     -0.0017917
    -519.2669221251003364     -0.0070814
    -518.0592347596031004     -0.0010367
    -516.8515473941059781      0.0017115
    -515.6438600286087421     -0.0010539
    -514.4361726630448857     -0.0074566
    -513.2284852975477634     -0.0012584
    -512.0207979320505274      0.0039355
    -510.8131105665532914     -0.0022250
    -509.6054232010560554     -0.0085319
    -508.3977358355589331     -0.0042530
    -507.1900484699951335      0.0000389
    -505.9823611044978975      0.0054889
    -504.7746737390006615     -0.0035377
    -503.5669863735035392      0.0008133
    -502.3592990080063032     -0.0029258
    -501.1516116425091241     -0.0013701
    -499.9439242769453244      0.0016048
    -498.7362369114481453      0.0023204
    -497.5285495459509093     -0.0073712
    -496.3208621804537302     -0.0013624
    -495.1131748149564942     -0.0060346
    -493.9054874494592582      0.0083033
    -492.6978000838955154     -0.0017643
    -491.4901127183983363     -0.0045775
    -490.2824253529677208      0.0000457
    -489.0747379874704848      0.0011508
    -487.8670506219066851     -0.0020413
    -486.6593632564094491      0.0017076
    -485.4516758909123268     -0.0031740
    -484.2439885254150909     -0.0043212
    -483.0363011599178549     -0.0000781
    -481.8286137944206757      0.0043975
    -480.6209264288569329      0.0036410
    -479.4132390633596970      0.0009798
    -478.2055516978624610     -0.0046034
    -476.9978643323652818     -0.0023588
    -475.7901769668680458     -0.0025179
    -474.5824896013708667      0.0027224
    -473.3748022358070671     -0.0014238
    -472.1671148703098879     -0.0021033
    -470.9594275048126519     -0.0016678
    -469.7517401393154728     -0.0025508
    -468.5440527738182368      0.0063342
    -467.3363654083210008      0.0033048
    -466.1286780427572580     -0.0009447
    -464.9209906772600789      0.0030923
    -463.7133033117628429     -0.0072455
    -462.5056159462656638      0.0030597
    -461.2979285807684846      0.0013880
    -460.0902412152712486      0.0018631
    -458.8825538497074490     -0.0011982
    -457.6748664842102698     -0.0015120
    -456.4671791187130907      0.0006563
    -455.2594917532158547      0.0029766
    -454.0518043877186756     -0.0038869
    -452.8441170222214396      0.0049097
    -451.6364296566576968     -0.0003738
    -450.4287422911604608     -0.0039582
    -449.2210549256632817      0.0006727
    -448.0133675601660457      0.0024648
    -446.8056801946688097     -0.0049441
    -445.5979928291716305     -0.0016830
    -444.3903054636078878      0.0026701
    -443.1826180981106518     -0.0060794
    -441.9749307326134158      0.0004977
    -440.7672433671162366      0.0016280
    -439.5595560016190007      0.0045169
    -438.3518686361218784      0.0064444
    -437.1441812705580219      0.0051280
    -435.9364939050608427      0.0033588
    -434.7288065395636636      0.0053636
    -433.5211191740664844     -0.0015228
    -432.3134318085692485     -0.0031401
    -431.1057444430720125      0.0051858
    -429.8980570775082697      0.0052406
    -428.6903697120110905     -0.0046762
    -427.4826823465138546      0.0009732
    -426.2749949810166186      0.0036817
    -425.0673076155194394      0.0017607
    -423.8596202500222034     -0.0023494
    -422.6519328844584606      0.0069202
    -421.4442455189612247      0.0067322
    -420.2365581534640455     -0.0032213
    -419.0288707879668095     -0.0051900
    -417.8211834224696304     -0.0057364
    -416.6134960569723944     -0.0061604
    -415.4058086914086516      0.0025158
    -414.1981213259114156      0.0025594
    -412.9904339604142365     -0.0005799
    -411.7827465949170573     -0.0072548
    -410.5750592294198213     -0.0011378
    -409.3673718639226422     -0.0019747
    -408.1596844983588426     -0.0019910
    -406.9519971328616634      0.0001894
    -405.7443097673644274     -0.0020238
    -404.5366224018672483     -0.0000926
    -403.3289350363700123      0.0038157
    -402.1212476708062695      0.0009686
    -400.9135603053090335     -0.0022813
    -399.7058729398118544      0.0005861
    -398.4981855743146184      0.0008867
    -397.2904982088174393      0.0020948
    -396.0828108433202033     -0.0039869
    -394.8751234777564605     -0.0015436
    -393.6674361122592245      0.0037795
    -392.4597487467620454      0.0049457
    -391.2520613812648094      0.0020311
    -390.0443740157675734      0.0022158
    -388.8366866502703942      0.0034360
    -387.6289992847066515      0.0034267
    -386.4213119192094155      0.0048760
    -385.2136245537121795     -0.0019022
    -384.0059371882150572      0.0041691
    -382.7982498227178212      0.0011339
    -381.5905624572206420      0.0034371
    -380.3828750916567856     -0.0048599
    -379.1751877261596633      0.0001557
    -377.9675003606624273     -0.0004562
    -376.7598129951652481     -0.0051769
    -375.5521256297345758      0.0074125
    -374.3444382641707762      0.0033241
    -373.1367508986735970      0.0081750
    -371.9290635331763610     -0.0039409
    -370.7213761676791819     -0.0048186
    -369.5136888021820027     -0.0029568
    -368.3060014366847668      0.0009258
    -367.0983140711209671      0.0016679
    -365.8906267056237880     -0.0056796
    -364.6829393401266088     -0.0001941
    -363.4752519746293729     -0.0028578
    -362.2675646091321937     -0.0042796
    -361.0598772436349577     -0.0040621
    -359.8521898780712149      0.0025227
    -358.6445025125739789      0.0024445
    -357.4368151470767998     -0.0002973
    -356.2291277815795638     -0.0002670
    -355.0214404160823847      0.0011640
    -353.8137530505851487      0.0000218
    -352.6060656850214059     -0.0019679
