#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Release Date, s_region, jpegURL, Product Group ID, Object ID
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, float, string, string, string, string
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,t_obs_release,s_region,jpegURL,obsid,objID
spectrum,FUSE,FUV,,,UV,0334-6400,NOVA-LIKE,u1063701000,53.6425,-64.015639,U106,Blair,2,53942.22420139,53942.49764703,7530,90,119,NaN,CIRCLE ICRS 53.6425 -64.01563899999999 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/u1063701/u106370100000specttagf.gif,3001004777,3001002503
spectrum,FUSE,FUV,,,UV,0334-6400,NOVA-LIKE,d9131401000,53.6425,-64.015639,D913,Schlegel,2,52946.1016088,52946.23919235,11700,90,119,NaN,CIRCLE ICRS 53.6425 -64.01563899999999 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/d9131401/d913140100000specttagf.gif,3001001679,3001004816
spectrum,FUSE,FUV,,,UV,0505-67.9,SUPERNOVA REMNANT,p2140301000,76.427917,-67.877222,P214,Blair,2,52176.26084491,52176.6562377,27739,90,119,NaN,CIRCLE ICRS 76.42791699999999 -67.877222 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p2140301/p214030100000specttagf.gif,3001003839,3001004265
spectrum,FUSE,FUV,,,UV,0509-67.5,SUPERNOVA REMNANT,p2140201000,77.382917,-67.521444,P214,Blair,2,52175.78605324,52176.22567564,29625,90,119,NaN,CIRCLE ICRS 77.38291700000001 -67.521444 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p2140201/p214020100000specttagf.gif,3001003838,3001004264
spectrum,FUSE,FUV,,,UV,0513-69,X-RAY SOURCE,b0160101000,78.461667,-69.863056,B016,Hutchings,2,52212.9218287,52213.07611979,3761,90,119,NaN,CIRCLE ICRS 78.46166700000001 -69.863056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b0160101/b016010100000specttagf.gif,3001000469,3001000336
spectrum,FUSE,FUV,,,UV,0513-69,X-RAY SOURCE,b0160102000,78.461667,-69.863056,B016,Hutchings,2,52213.10934028,52213.26251329,3965,90,119,NaN,CIRCLE ICRS 78.46166700000001 -69.863056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b0160102/b016010200000specttagf.gif,3001000470,3001000337
spectrum,FUSE,FUV,,,UV,0513-69,X-RAY SOURCE,b0160103000,78.461667,-69.863056,B016,Hutchings,2,52213.31748843,52213.42535084,4570,90,119,NaN,CIRCLE ICRS 78.46166700000001 -69.863056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b0160103/b016010300000specttagf.gif,3001000471,3001000338
spectrum,FUSE,FUV,,,UV,0513-69,X-RAY SOURCE,b0160104000,78.461667,-69.863056,B016,Hutchings,2,52213.45633102,52213.56401005,6599,90,119,NaN,CIRCLE ICRS 78.46166700000001 -69.863056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b0160104/b016010400000specttagf.gif,3001000472,3001000339
spectrum,FUSE,FUV,,,UV,0513-69,X-RAY SOURCE,b0160105000,78.461667,-69.863056,B016,Hutchings,2,52213.59532407,52213.70269251,6555,90,119,NaN,CIRCLE ICRS 78.46166700000001 -69.863056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b0160105/b016010500000specttagf.gif,3001000473,3001000340
spectrum,FUSE,FUV,,,UV,0513-69,X-RAY SOURCE,b0160106000,78.461667,-69.863056,B016,Hutchings,2,52213.74221065,52213.83879385,4401,90,119,NaN,CIRCLE ICRS 78.46166700000001 -69.863056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/b0160106/b016010600000specttagf.gif,3001000474,3001000341
